,Date(UTC),ETHPerDay,NetworkDifficulty[TH/s],ETHPriceUSD,TotalBlocks,PowerCoast,Inflação,Multiple_GPUPrice,R$_DollarPrice,ETHPriceBRL,R$_GPUPrice,ETH/dia,USD_Revenue,USD_Coast,USD_Profit/day,USD_Profit/month,Indicador,Multiple_Difficulty/LastDifficulty,USD_GPUPrice,Pays_itself/months,Date
10,2015-08-09,27178.28125,1.709,0.74,5123.0,0.600839,0.6751,,3.5175,2.60295,234.5280841529906,10.620977733593277,27.645873991656618,2.0188190400000003,25.627054951656618,768.8116485496985,0.07302424371207325,0.00017237892498692535,66.67465078976278,0.3050527194735005,2015-08-09
11,2015-08-10,27817.34375,1.838,0.68,5255.0,0.600839,0.6751,,3.4903,2.3734040000000003,234.5280841529906,9.853859332890899,23.387189156120595,2.0188190400000003,21.368370116120595,641.0511034836178,0.08632157659150164,0.00018539055829489102,67.1942481027392,0.3658492792205045,2015-08-10
12,2015-08-11,28027.8125,2.036,1.06,5280.0,0.600839,0.6751,,3.4919,3.7014139999999998,234.5280841529906,8.920443271119844,33.018253609928784,2.0188190400000003,30.999434569928784,929.9830370978635,0.06114251419381337,0.00020536190244200116,67.16345947850472,0.25218533542812444,2015-08-11
13,2015-08-12,27370.9375,2.207,1.25,5124.0,0.600839,0.6751,,3.482,4.3525,234.5280841529906,8.281083183271452,36.043414555188996,2.0188190400000003,34.02459551518899,1020.7378654556697,0.056010759938096955,0.0002226098814781417,67.35441819442579,0.22976328408106467,2015-08-12
14,2015-08-13,28268.125,2.337,1.78,5286.0,0.600839,0.6751,,3.5068,6.242104,234.5280841529906,7.829248184829061,48.87098141151422,2.0188190400000003,46.852162371514225,1405.5648711454269,0.04130915692076439,0.00023572238016058777,66.8780894698844,0.16685681960866616,2015-08-13
15,2015-08-14,31106.71875,2.671,1.8,5809.0,0.600839,0.6751,,3.4755,6.2559,234.5280841529906,6.859427440565734,42.91189212543517,2.0188190400000003,40.89307308543518,1226.7921925630553,0.04704567755014898,0.000269411415237026,67.48038675096838,0.19117181016860457,2015-08-14
16,2015-08-15,28512.65625,3.378,1.79,5382.0,0.600839,0.6751,,3.4755,6.221145,234.5280841529906,5.365908564367905,33.38209523567457,2.0188190400000003,31.36327619567457,940.898285870237,0.060476103304700345,0.0003407232349946365,67.48038675096838,0.24925976343561465,2015-08-15
17,2015-08-16,27094.53125,3.632,1.37,5132.0,0.600839,0.6751,,3.4755,4.7614350000000005,234.5280841529906,4.973453739772215,23.68077670743232,2.0188190400000003,21.66195766743232,649.8587300229696,0.08525138617460908,0.0003663430401126465,67.48038675096838,0.3608908726127309,2015-08-16
18,2015-08-17,28118.90625,3.908,1.2,5347.0,0.600839,0.6751,,3.4739,4.16868,234.5280841529906,4.604077368401608,19.192925244108416,2.0188190400000003,17.174106204108416,515.2231861232525,0.10518558345449243,0.0003941818834692242,67.5114666953541,0.45519706890071215,2015-08-17
19,2015-08-18,26162.8125,4.378,1.27,4948.0,0.600839,0.6751,,3.4805,4.420235,234.5280841529906,4.132262565860832,18.265571622807855,2.0188190400000003,16.246752582807854,487.4025774842356,0.11052591628061294,0.0004415886094749907,67.38344610055756,0.48117940894675737,2015-08-18
20,2015-08-19,27282.03125,4.42,1.26,5192.0,0.600839,0.6751,,3.4843,4.390218,234.5280841529906,4.067510449420968,17.857257590236024,2.0188190400000003,15.838438550236024,475.1531565070807,0.11305313986755998,0.0004458249552031656,67.30995728065625,0.49358418636433005,2015-08-19
21,2015-08-20,21057.03125,4.469,1.48,4024.0,0.600839,0.6751,,3.4745,5.142259999999999,234.5280841529906,4.006247200173316,20.601164727563233,2.0188190400000003,18.582345687563233,557.470370626897,0.09799538359590566,0.00045076735855270297,67.49980836177598,0.4207005367644108,2015-08-20
22,2015-08-21,26690.9375,4.415,1.44,5088.0,0.600839,0.6751,,3.489,5.024159999999999,234.5280841529906,4.065321962007735,20.42482798864078,2.0188190400000003,18.40600894864078,552.1802684592234,0.09884142187747001,0.0004453206283307638,67.21928465261983,0.42473101186213374,2015-08-21
23,2015-08-22,27550.46875,4.828,1.39,5271.0,0.600839,0.6751,,3.489,4.849709999999999,234.5280841529906,3.704056846351132,17.963601528317543,2.0188190400000003,15.944782488317543,478.3434746495263,0.11238386894841579,0.0004869780279911501,67.21928465261983,0.49029222009315615,2015-08-22
24,2015-08-23,26255.625,5.138,1.35,5013.0,0.600839,0.6751,,3.489,4.7101500000000005,234.5280841529906,3.4877029183057484,16.42760390065782,2.0188190400000003,14.408784860657821,432.26354581973465,0.12289187468898975,0.0005182462940800599,67.21928465261983,0.5425580908245152,2015-08-23
