,Date(UTC),R$_GPUPrice,Multiple_GPUPrice
0,2020-12-22,1044.05,0.33028373303976183
1,2020-12-23,1044.05,0.33028373303976183
2,2020-12-24,1044.05,0.33028373303976183
3,2020-12-25,1044.05,0.33028373303976183
4,2020-12-26,1044.05,0.33028373303976183
5,2020-12-27,1044.05,0.33028373303976183
6,2020-12-28,1044.05,0.33028373303976183
7,2020-12-29,1044.05,0.33028373303976183
8,2020-12-30,1044.05,0.33028373303976183
9,2020-12-31,1044.05,0.33028373303976183
10,2021-01-01,1044.05,0.33028373303976183
11,2021-01-02,1044.05,0.33028373303976183
12,2021-01-03,1044.05,0.33028373303976183
13,2021-01-04,1044.05,0.33028373303976183
14,2021-01-05,1044.05,0.33028373303976183
15,2021-01-06,972.8,0.3077438968450556
16,2021-01-07,901.55,0.28520406065034937
17,2021-01-08,901.55,0.28520406065034937
18,2021-01-09,901.55,0.28520406065034937
19,2021-01-10,901.55,0.28520406065034937
20,2021-01-11,901.55,0.28520406065034937
21,2021-01-12,972.8,0.3077438968450556
22,2021-01-13,1044.05,0.33028373303976183
23,2021-01-14,1044.05,0.33028373303976183
24,2021-01-15,1044.05,0.33028373303976183
25,2021-01-16,1091.55,0.3453102905028993
26,2021-01-17,1139.05,0.36033684796603677
27,2021-01-18,1139.05,0.36033684796603677
28,2021-01-19,1139.05,0.36033684796603677
29,2021-01-20,1139.05,0.36033684796603677
30,2021-01-21,1139.05,0.36033684796603677
31,2021-01-22,1139.05,0.36033684796603677
32,2021-01-23,1139.05,0.36033684796603677
33,2021-01-24,1139.05,0.36033684796603677
34,2021-01-25,1139.05,0.36033684796603677
35,2021-01-26,1139.05,0.36033684796603677
36,2021-01-27,1139.05,0.36033684796603677
37,2021-01-28,1139.05,0.36033684796603677
38,2021-01-29,1139.05,0.36033684796603677
39,2021-01-30,1139.05,0.36033684796603677
40,2021-01-31,1139.05,0.36033684796603677
41,2021-02-01,1139.05,0.36033684796603677
42,2021-02-02,1139.05,0.36033684796603677
43,2021-02-03,1139.05,0.36033684796603677
44,2021-02-04,1139.05,0.36033684796603677
45,2021-02-05,1139.05,0.36033684796603677
46,2021-02-06,1139.05,0.36033684796603677
47,2021-02-07,1139.05,0.36033684796603677
48,2021-02-08,1139.05,0.36033684796603677
49,2021-02-09,1139.05,0.36033684796603677
50,2021-02-10,1139.05,0.36033684796603677
51,2021-02-11,1139.05,0.36033684796603677
52,2021-02-12,1139.05,0.36033684796603677
53,2021-02-13,1139.05,0.36033684796603677
54,2021-02-14,1139.05,0.36033684796603677
55,2021-02-15,1139.05,0.36033684796603677
56,2021-02-16,1139.05,0.36033684796603677
57,2021-02-17,1139.05,0.36033684796603677
58,2021-02-18,1139.05,0.36033684796603677
59,2021-02-19,1139.05,0.36033684796603677
60,2021-02-20,1139.05,0.36033684796603677
61,2021-02-21,1139.05,0.36033684796603677
62,2021-02-22,1139.05,0.36033684796603677
63,2021-02-23,1139.05,0.36033684796603677
64,2021-02-24,1139.05,0.36033684796603677
65,2021-02-25,1139.05,0.36033684796603677
66,2021-02-26,1139.05,0.36033684796603677
67,2021-02-27,1091.55,0.3453102905028993
68,2021-02-28,1044.05,0.33028373303976183
69,2021-03-01,1044.05,0.33028373303976183
70,2021-03-02,1044.05,0.33028373303976183
71,2021-03-03,1067.8,0.33779701177133054
72,2021-03-04,1091.55,0.3453102905028993
73,2021-03-05,1091.55,0.3453102905028993
74,2021-03-06,1091.55,0.3453102905028993
75,2021-03-07,1091.55,0.3453102905028993
76,2021-03-08,1091.55,0.3453102905028993
77,2021-03-09,1245.725,0.39408333254246186
78,2021-03-10,1399.9,0.4428563745820244
79,2021-03-11,1384.33,0.437930827219897
80,2021-03-12,1368.76,0.43300527985776965
81,2021-03-13,1325.63,0.4193611656812409
82,2021-03-14,1282.5,0.405717051504712
83,2021-03-15,1187.025,0.37551367100380567
84,2021-03-16,1091.55,0.3453102905028993
85,2021-03-17,1220.275,0.38603226122800194
86,2021-03-18,1349.0,0.42675423195310447
87,2021-03-19,1349.0,0.42675423195310447
88,2021-03-20,1349.0,0.42675423195310447
89,2021-03-21,1349.0,0.42675423195310447
90,2021-03-22,1349.0,0.42675423195310447
91,2021-03-23,1373.5,0.4345047721183017
92,2021-03-24,1398.0,0.4422553122834989
93,2021-03-25,1398.95,0.44255584343276166
94,2021-03-26,1399.9,0.4428563745820244
95,2021-03-27,1399.9,0.4428563745820244
96,2021-03-28,1399.9,0.4428563745820244
97,2021-03-29,1491.9450000000002,0.4719746794598032
98,2021-03-30,1583.99,0.5010929843375819
99,2021-03-31,1540.995,0.48749157721910613
100,2021-04-01,1498.0,0.47389017010063045
101,2021-04-02,1613.95,0.5105707877395945
102,2021-04-03,1729.9,0.5472514053785585
103,2021-04-04,1714.45,0.5423638198458117
104,2021-04-05,1699.0,0.5374762343130649
105,2021-04-06,1723.6950000000002,0.5452884624510055
106,2021-04-07,1748.39,0.5531006905889462
107,2021-04-08,1678.595,0.5310211415754792
108,2021-04-09,1608.8,0.5089415925620122
109,2021-04-10,1608.8,0.5089415925620122
110,2021-04-11,1608.8,0.5089415925620122
111,2021-04-12,1608.8,0.5089415925620122
112,2021-04-13,1608.8,0.5089415925620122
113,2021-04-14,1350.175,0.42712594153245576
114,2021-04-15,1091.55,0.3453102905028993
115,2021-04-16,1445.275,0.4572106913165479
116,2021-04-17,1799.0,0.5691110921301964
117,2021-04-18,1545.455,0.4889024918777502
118,2021-04-19,1291.91,0.4086938916253041
119,2021-04-20,1325.9050000000002,0.419448161540238
120,2021-04-21,1359.9,0.43020243145517184
121,2021-04-22,1325.9050000000002,0.419448161540238
122,2021-04-23,1291.91,0.4086938916253041
123,2021-04-24,1465.9050000000002,0.46373696248422214
124,2021-04-25,1639.9,0.5187800333431402
125,2021-04-26,1626.975,0.5146912279702758
126,2021-04-27,1614.05,0.5106024225974116
127,2021-04-28,1571.6,0.49717342545403925
128,2021-04-29,1529.15,0.48374442831066694
129,2021-04-30,1761.6,0.5572796553065892
130,2021-05-01,1994.05,0.6308148823025115
131,2021-05-02,1851.55,0.585735209913099
132,2021-05-03,1709.05,0.5406555375236866
133,2021-05-04,1949.525,0.6167294618594337
134,2021-05-05,2190.0,0.6928033861951807
135,2021-05-06,1949.525,0.6167294618594337
136,2021-05-07,1709.05,0.5406555375236866
137,2021-05-08,1709.05,0.5406555375236866
138,2021-05-09,1709.05,0.5406555375236866
139,2021-05-10,1709.05,0.5406555375236866
140,2021-05-11,1709.05,0.5406555375236866
141,2021-05-12,2086.31,0.660001202124597
142,2021-05-13,2463.57,0.7793468667255075
143,2021-05-14,2463.57,0.7793468667255075
144,2021-05-15,2463.57,0.7793468667255075
145,2021-05-16,2086.31,0.660001202124597
146,2021-05-17,1709.05,0.5406555375236866
147,2021-05-18,2012.37,0.6366103882546099
148,2021-05-19,2315.69,0.7325652389855334
149,2021-05-20,2257.8450000000003,0.7142660554812137
150,2021-05-21,2200.0,0.6959668719768939
151,2021-05-22,2698.505,0.8536682199381854
152,2021-05-23,3197.01,1.0113695678994772
153,2021-05-24,2906.48,0.9194608154833648
154,2021-05-25,2615.95,0.8275520630672525
155,2021-05-26,2162.5,0.6841038002954696
156,2021-05-27,1709.05,0.5406555375236866
157,2021-05-28,1709.05,0.5406555375236866
158,2021-05-29,1709.05,0.5406555375236866
159,2021-05-30,1799.48,0.5692629394477187
160,2021-05-31,1889.91,0.5978703413717507
161,2021-06-01,2303.195,0.7286124635012828
162,2021-06-02,2716.48,0.8593545856308148
163,2021-06-03,3010.0299999999997,0.9522187107530043
164,2021-06-04,3303.58,1.045082835875194
165,2021-06-05,3232.325,1.022541417937597
166,2021-06-06,3161.07,1.0
